t,velL,velR,pwmL,pwmR
4860,6,0,200,0
4870,6,0,200,0
4900,6,0,200,0
4910,6,0,200,0
4940,6,0,200,0
4950,6,0,200,0
4960,6,0,200,0
4970,6,0,200,0
5030,6,0,200,0
5040,6,0,200,0
5050,6,0,200,0
5060,5,0,200,0
5070,5,0,200,0
5080,5,0,200,0
5090,5,0,200,0
5100,5,0,200,0
5110,5,0,200,0
5120,5,0,200,0
5130,5,0,200,0
5140,6,0,200,0
5150,5,0,200,0
5160,5,0,200,0
5170,5,0,200,0
5180,4,0,200,0
5190,5,0,200,0
5200,5,0,200,0
5210,6,0,200,0
5230,6,0,200,0
5240,6,0,200,0
5260,6,0,200,0
5270,6,0,200,0
5280,6,0,200,0
5290,6,0,200,0
5300,6,0,200,0
5310,5,0,200,0
5320,6,0,200,0
5330,6,0,200,0
5340,5,0,200,0
5350,5,0,200,0
5360,4,0,200,0
5370,4,0,200,0
5380,5,0,200,0
5390,5,0,200,0
5400,6,0,200,0
5410,6,0,200,0
5420,6,0,200,0
5430,6,0,200,0
5440,6,0,200,0
5450,6,0,200,0
5460,6,0,200,0
5470,6,0,200,0
5480,6,0,200,0
5490,6,0,200,0
5500,6,0,200,0
5510,6,0,200,0
5520,5,0,200,0
5530,5,0,200,0
5540,5,0,200,0
5550,5,0,200,0
5560,6,0,200,0
5570,5,0,200,0
5580,6,0,200,0
5600,5,0,200,0
5610,5,0,200,0
5620,5,0,200,0
5630,5,0,200,0
5640,5,0,200,0
5650,5,0,200,0
5660,4,0,200,0
5670,6,0,200,0
5680,5,0,200,0
5690,5,0,200,0
5700,5,0,200,0
5710,6,0,200,0
5720,5,0,200,0
5730,5,0,200,0
5740,5,0,200,0
5750,5,0,200,0
5760,4,0,200,0
5770,4,0,200,0
5780,5,0,200,0
5790,5,0,200,0
5800,5,0,200,0
5810,5,0,200,0
5820,5,0,200,0
5830,5,0,200,0
5840,5,0,200,0
5850,6,0,200,0
5860,5,0,200,0
5870,5,0,200,0
5880,5,0,200,0
5890,5,0,200,0
5900,5,0,200,0
5910,4,0,200,0
5920,4,0,200,0
5930,5,0,200,0
5940,3,0,200,0
5950,4,0,200,0
5960,4,0,200,0
5970,5,0,200,0
5980,5,0,200,0
5990,5,0,200,0
6000,6,0,200,0
6020,5,0,200,0
6030,5,0,200,0
6040,5,0,200,0
6050,6,0,200,0
6060,6,0,200,0
6070,6,0,200,0
6080,6,0,200,0
6090,6,0,200,0
6100,5,0,200,0
6110,5,0,200,0
6120,4,0,200,0
6130,5,0,200,0
6140,6,0,200,0
6150,4,0,200,0
6160,5,0,200,0
6170,6,0,200,0
6180,5,0,200,0
6190,6,0,200,0
6200,6,0,200,0
6210,5,0,200,0
6220,5,0,200,0
6230,5,0,200,0
6240,5,0,200,0
6250,5,0,200,0
6260,5,0,200,0
6270,6,0,200,0
6280,4,0,200,0
6290,5,0,200,0
6300,6,0,200,0
6310,6,0,200,0
6320,6,0,200,0
6330,6,0,200,0
6340,6,0,200,0
6350,5,0,200,0
6360,5,0,200,0
6370,6,0,200,0
6390,5,0,200,0
6400,5,0,200,0
6410,5,0,200,0
6420,4,0,200,0
6430,4,0,200,0
6440,5,0,200,0
6450,5,0,200,0
6460,6,0,200,0
6470,5,0,200,0
6480,6,0,200,0
6490,6,0,200,0
6500,6,0,200,0
6510,5,0,200,0
6520,5,0,200,0
6530,6,0,200,0
6550,5,0,200,0
6560,6,0,200,0
6570,6,0,200,0
6580,6,0,200,0
6590,5,0,200,0
6600,5,0,200,0
6610,6,0,200,0
6630,6,0,200,0
6640,6,0,200,0
6650,6,0,200,0
6670,6,0,200,0
6680,6,0,200,0
6690,6,0,200,0
6700,5,0,200,0
6710,4,0,200,0
6720,4,0,200,0
6730,4,0,200,0
6740,6,0,200,0
6750,6,0,200,0
6760,5,0,200,0
6770,5,0,200,0
6780,5,0,200,0
6790,4,0,200,0
6800,5,0,200,0
6810,5,0,200,0
6820,5,0,200,0
6830,6,0,200,0
6840,5,0,200,0
6850,5,0,200,0
6860,6,0,200,0
6870,6,0,200,0
6880,6,0,200,0
6890,6,0,200,0
6900,6,0,200,0
6910,5,0,200,0
6920,5,0,200,0
6930,4,0,200,0
6940,5,0,200,0
6950,6,0,200,0
6960,6,0,200,0
6970,5,0,200,0
6980,5,0,200,0
6990,6,0,200,0
7000,4,0,200,0
7010,4,0,200,0
7020,4,0,200,0
7030,4,0,200,0
7040,4,0,200,0
7050,3,0,200,0
7060,3,0,200,0
7070,3,0,200,0
7080,4,0,200,0
7090,4,0,200,0
7100,4,0,200,0
7110,5,0,200,0
7120,5,0,200,0
7130,4,0,200,0
7140,4,0,200,0
7150,5,0,200,0
7160,4,0,200,0
7170,5,0,200,0
7180,5,0,200,0
7190,6,0,200,0
