t,velL,velR,pwmL,pwmR
6890,0,1,0,200
6900,0,1,0,200
6910,0,1,0,200
6920,0,1,0,200
6930,0,1,0,200
6940,0,1,0,200
6950,0,1,0,200
6960,0,1,0,200
6970,0,1,0,200
6980,0,1,0,200
6990,0,1,0,200
7000,0,1,0,200
7010,0,1,0,200
7020,0,1,0,200
7030,0,1,0,200
7040,0,1,0,200
7050,0,1,0,200
7060,0,1,0,200
7070,0,1,0,200
7080,0,1,0,200
7090,0,1,0,200
7100,0,1,0,200
7110,0,1,0,200
7120,0,1,0,200
7130,0,1,0,200
7140,0,1,0,200
7150,0,0,0,200
7160,0,0,0,200
7170,0,1,0,200
7180,0,0,0,200
7190,0,1,0,200
7200,0,1,0,200
7210,0,1,0,200
7220,0,1,0,200
7230,0,1,0,200
7240,0,1,0,200
7250,0,1,0,200
7260,0,1,0,200
7270,0,0,0,200
7280,0,1,0,200
7290,0,0,0,200
7300,0,0,0,200
7310,0,1,0,200
7320,0,1,0,200
7330,0,1,0,200
7340,0,1,0,200
7350,0,1,0,200
7360,0,1,0,200
7370,0,1,0,200
7380,0,1,0,200
7390,0,1,0,200
7400,0,1,0,200
7410,0,1,0,200
7420,0,0,0,200
7430,0,1,0,200
7440,0,1,0,200
7450,0,1,0,200
7460,0,1,0,200
7470,0,1,0,200
7480,0,1,0,200
7490,0,1,0,200
7500,0,1,0,200
7510,0,0,0,200
7520,0,0,0,200
7530,0,0,0,200
7540,0,1,0,200
7550,0,1,0,200
7560,0,1,0,200
7570,0,1,0,200
7580,0,1,0,200
7590,0,1,0,200
7600,0,1,0,200
7610,0,1,0,200
7620,0,2,0,200
7630,0,1,0,200
7640,0,2,0,200
7650,0,2,0,200
7660,0,1,0,200
7670,0,2,0,200
7680,0,1,0,200
7690,0,1,0,200
7700,0,1,0,200
7710,0,1,0,200
7720,0,1,0,200
7730,0,1,0,200
7740,0,1,0,200
7750,0,1,0,200
7760,0,1,0,200
7770,0,1,0,200
7780,0,1,0,200
7790,0,1,0,200
7800,0,1,0,200
7810,0,1,0,200
7820,0,1,0,200
7830,0,1,0,200
7840,0,1,0,200
7850,0,1,0,200
7860,0,1,0,200
7870,0,1,0,200
7880,0,1,0,200
7890,0,1,0,200
7900,0,1,0,200
7910,0,1,0,200
7920,0,0,0,200
7930,0,0,0,200
7940,0,0,0,200
7950,0,1,0,200
7960,0,1,0,200
7970,0,1,0,200
7980,0,1,0,200
7990,0,1,0,200
8000,0,0,0,200
8010,0,1,0,200
8020,0,1,0,200
8030,0,1,0,200
8040,0,1,0,200
8050,0,1,0,200
8060,0,1,0,200
8070,0,1,0,200
8080,0,1,0,200
8090,0,1,0,200
8100,0,1,0,200
8110,0,1,0,200
8120,0,1,0,200
8130,0,1,0,200
8140,0,1,0,200
8150,0,1,0,200
8160,0,1,0,200
8170,0,1,0,200
8180,0,1,0,200
8190,0,1,0,200
8200,0,1,0,200
8210,0,1,0,200
8220,0,0,0,200
8230,0,1,0,200
8240,0,1,0,200
8250,0,1,0,200
8260,0,1,0,200
8270,0,1,0,200
8280,0,1,0,200
8290,0,0,0,200
8300,0,1,0,200
8310,0,0,0,200
8320,0,0,0,200
8330,0,0,0,200
8340,0,1,0,200
8350,0,0,0,200
8360,0,1,0,200
8370,0,1,0,200
8380,0,1,0,200
8390,0,1,0,200
8400,0,1,0,200
8410,0,1,0,200
8420,0,1,0,200
8430,0,1,0,200
8440,0,0,0,200
8450,0,1,0,200
8460,0,1,0,200
8470,0,1,0,200
8480,0,1,0,200
8490,0,1,0,200
8500,0,1,0,200
8510,0,1,0,200
8520,0,1,0,200
8530,0,1,0,200
8540,0,1,0,200
8550,0,1,0,200
8560,0,1,0,200
8570,0,1,0,200
8580,0,1,0,200
8590,0,1,0,200
8600,0,1,0,200
8610,0,1,0,200
8620,0,1,0,200
8630,0,1,0,200
8640,0,1,0,200
8650,0,0,0,200
8660,0,1,0,200
8670,0,1,0,200
8680,0,0,0,200
8690,0,1,0,200
8700,0,1,0,200
8710,0,1,0,200
8720,0,1,0,200
8730,0,1,0,200
8740,0,1,0,200
8750,0,1,0,200
8760,0,1,0,200
8770,0,1,0,200
8780,0,1,0,200
8790,0,1,0,200
8800,0,1,0,200
8810,0,1,0,200
8820,0,1,0,200
8830,0,0,0,200
8840,0,1,0,200
8850,0,0,0,200
8860,0,0,0,200
8870,0,1,0,200
8880,0,1,0,200
8890,0,1,0,200
8900,0,1,0,200
8910,0,1,0,200
8920,0,1,0,200
8930,0,1,0,200
8940,0,1,0,200
8950,0,1,0,200
8960,0,0,0,200
8970,0,1,0,200
8980,0,0,0,200
8990,0,0,0,200
9000,0,0,0,200
9010,0,1,0,200
9020,0,0,0,200
9030,0,1,0,200
9040,0,1,0,200
9050,0,1,0,200
9060,0,1,0,200
9070,0,1,0,200
9080,0,1,0,200
9090,0,1,0,200
9100,0,1,0,200
9110,0,1,0,200
9120,0,1,0,200
9130,0,0,0,200
9140,0,1,0,200
9150,0,1,0,200
9160,0,1,0,200
9170,0,1,0,200
9180,0,1,0,200
9190,0,1,0,200
9200,0,1,0,200
9210,0,1,0,200
9220,0,1,0,200
9230,0,1,0,200
9240,0,0,0,200
9250,0,1,0,200
9260,0,1,0,200
9270,0,1,0,200
9280,0,1,0,200
9290,0,2,0,200
9300,0,1,0,200
9310,0,1,0,200
9320,0,1,0,200
9330,0,2,0,200
9340,0,1,0,200
9350,0,1,0,200
9360,0,1,0,200
9370,0,1,0,200
9380,0,1,0,200
9390,0,1,0,200
9400,0,1,0,200
9410,0,1,0,200
9420,0,1,0,200
9430,0,1,0,200
9440,0,1,0,200
9450,0,1,0,200
9460,0,1,0,200
9470,0,1,0,200
9480,0,1,0,200
9490,0,1,0,200
9500,0,1,0,200
9510,0,0,0,200
9520,0,0,0,200
9530,0,1,0,200
9540,0,1,0,200
9550,0,1,0,200
9560,0,1,0,200
9570,0,1,0,200
9580,0,1,0,200
9590,0,0,0,200
9600,0,0,0,200
9610,0,0,0,200
9620,0,0,0,200
9630,0,0,0,200
9640,0,1,0,200
9650,0,1,0,200
9660,0,1,0,200
9670,0,1,0,200
9680,0,1,0,200
9690,0,1,0,200
9700,0,1,0,200
9710,0,1,0,200
9720,0,1,0,200
9730,0,1,0,200
9740,0,1,0,200
9750,0,1,0,200
9760,0,1,0,200
9770,0,1,0,200
9780,0,1,0,200
9790,0,1,0,200
9800,0,1,0,200
9810,0,1,0,200
9820,0,1,0,200
9830,0,1,0,200
9840,0,1,0,200
9850,0,1,0,200
9860,0,1,0,200
9870,0,1,0,200
9880,0,1,0,200
9890,0,1,0,200
9900,0,1,0,200
9910,0,1,0,200
9920,0,1,0,200
9930,0,1,0,200
9940,0,1,0,200
9950,0,1,0,200
9960,0,0,0,200
9970,0,0,0,200
9980,0,0,0,200
9990,0,1,0,200
10000,0,1,0,0
10010,0,1,0,0
